views;respects;tot_recommendations
2034;2;36
1421;2;37
1406;2;338
4318;7;320
21914;51;55
5328;17;316
1993;3;318
6119;6;439
59853;20;361
5644;12;316
2153;5;2
10823;25;10
2837;3;72
4981;12;321
5919;18;156
52540;13;316
7471;13;36
1962;4;125
2883;4;36
6117;10;36
20170;22;316
3003;3;36
19922;65;366
8242;4;366
15190;51;324
3985;6;350
3414;4;36
1650;1;36
8579;11;36
32869;75;423
3746;16;331
4277;5;22
19423;10;61
12451;14;82
10708;8;406
2071;6;316
3800;14;361
5411;6;20
5479;32;36
13351;32;49
1812;2;68
2803;6;36
8057;16;22
5452;11;352
2764;3;46
3609;2;368
10073;8;394
1495;4;48
6372;10;431
2607;8;22
12391;12;11
1286;1;47
1265;3;4
7865;26;0
21166;19;65
7223;21;35
967;1;321
6475;3;316
1203;3;0
27757;17;37
4234;4;15
176;0;36
13271;8;394
2230;2;380
2106;14;364
2786;7;0
8965;31;67
12949;16;2
5977;17;48
3238;14;36
1528;0;316
21919;28;407
5487;12;58
609;2;36
17929;56;2
1071;0;316
2516;3;38
3012;5;394
9464;11;316
5840;10;55
9713;17;316
2373;4;316
5479;10;0
9962;10;126
2422;5;320
8173;8;28
879;4;316
1764;3;59
4983;10;70
9238;22;368
1744;5;61
30878;12;318
13198;7;36
2134;2;406
1996;5;84
2732;7;36
2961;8;4
3585;4;356
14941;37;22
22165;49;372
16868;7;369
2247;3;316
10460;4;0
6927;5;378
1209;2;22
5947;14;36
17431;82;36
21938;17;37
3724;8;325
14195;34;371
1745;2;36
7165;14;334
74068;15;446
112051;19;432
1351;1;0
11840;44;17
6821;10;0
8551;18;160
5979;5;58
15190;13;420
7055;8;45
1830;20;58
2242;1;69
77815;25;408
12468;31;36
1262;1;4
9034;7;323
6226;21;22
8965;29;374
3312;5;30
6226;6;333
1208;2;0
8413;12;36
70468;59;0
3457;10;61
9215;21;36
14273;51;22
1993;7;48
3130;5;46
1538;2;2
3231;9;316
4259;5;2
3782;10;418
5011;8;316
4111;7;352
1811;4;57
2282;4;40
3760;7;90
3873;5;12
3515;15;318
23657;11;36
24115;49;69
12721;17;398
3736;2;36
13395;43;316
12700;27;147
2728;8;316
3707;11;61
7112;22;36
5714;11;330
1121;0;75
2242;4;48
9905;14;441
2908;4;316
12287;2;335
4775;8;29
3736;7;322
2026;9;22
8431;12;328
5434;6;433
2605;3;316
7739;15;14
211900;66;322
1606;2;41
